UBIOTA,POS,UBIOTA AUDIO,TRANSLATION,ILLUSTRATION,UDJE 1,UDJE 1 AUDIO,EXAMPLE 1,UDJE 2,UDJE 2 AUDIO,EXAMPLE 2,RATE ENTRY,Total_Rating_Sum,Rating_Count,_RATE_SUM,_RATE_COUNT
abotu,a,https://archive.org/download/aberen-s-2/abotu%20.aac,"group effort, crowd",https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/abotu.jpeg,Abotu aye vwo muo yara.,https://archive.org/download/aberen-s-2/abotu%20s1.aac,They carried him/her/it away with group effort.,"We biko, e jẹ a vwẹ abotu vwọ wian owian na.",https://archive.org/download/aberen-s-2/abotu%20s2.aac,Please let us use group effort  to do the job.,0,,,0,0
Ada,n,https://archive.org/download/aberen-s-2/ada.aac,outing,https://dn721805.ca.archive.org/0/items/afioto-re-oyibo-rabbit/ada.jpeg,Oniovo mẹ kpẹ ada.,https://archive.org/download/aberen-s-2/ada%20s1.aac,My sibling went on outing.,Wo kpẹ ada nọ.,https://archive.org/download/aberen-s-2/ada%20s2.aac,You go on outing too much.,0,,,0,0
áda,n,https://archive.org/download/aberen-s-2/ada%201.aac,forked stick,https://ia801002.us.archive.org/33/items/afioto-re-oyibo-rabbit/ada%201.jpeg,Nya vwẹ áda kẹ vwẹ me vwọ chẹ idjighere mẹ.,https://archive.org/download/aberen-s-2/ada%201%20s1.aac,Cut me a forked stick to wedge my bicycle.,Áda wọ nya vwe kẹ vwẹ na gare-e.,https://archive.org/download/aberen-s-2/ada%201%20s2.aac,The forked stick you cut for me is not strong.,0,,,0,0
ádá/á dá ,adv/adv ph,https://archive.org/download/aberen-s-2/ada%202.aac,when (as in when something is being done),,Ihwo suẹ une nana ádá vwẹ ọmọtẹ kpẹ orọvwe,https://archive.org/download/aberen-s-2/ada%202%20s1.aac,People sing this song when a girl is given out in marriage.,Ádá riẹ emu a tẹ ota-a.,https://archive.org/download/aberen-s-2/ada%202%20s2.aac,One does not talk when eating.,0,,,0,0
adérha,n,https://archive.org/download/aberen-s-2/aderha%20.aac,three-way junction,https://ia801002.us.archive.org/33/items/afioto-re-oyibo-rabbit/aderha.jpeg,Ọbo na muẹ izobo kpẹ adérha.,https://archive.org/download/aberen-s-2/aderha%20s1.aac,The native doctor took the sacrifice to a three-way junction.,Hẹrhẹ ovwẹ wo de tẹ adérha na.,https://archive.org/download/aberen-s-2/aderha%20s2.aac,Wait on me when you get to the three-way junction.,0,,,0,0
ádié,n. ,,position/part,,,,,,,,0,,,0,0
adján,n. ,https://drive.google.com/file/d/1uvaqY1XxGM_USVa_InEEsY91li4SMtIl/preview,bat,https://ia801002.us.archive.org/33/items/afioto-re-oyibo-rabbit/aderha.jpeg,Mu adján na ke vwe.,https://drive.google.com/uc?export=download&id=1Rp4p9zt6e1cP5VaJv_fj6sZGZqJG_nS4,Help me catch the bat.,Adján na rha kpo.,https://drive.google.com/uc?export=download&id=1JNVx_GGuK5ukrp84PPnAqUl1E_2t5Upj,The bat escaped.,0,,,0,0
adjaọghẹnẹ,n. ,,swallow,,,,,,,,0,,,0,0
ádjeghwọghwọ,n. ,,camphor,,,,,,,,0,,,0,0
adjené,n. ,,self acclaimed witch or wizard,,,,,,,,0,,,0,0
